,counts,words,translations
0,1.0,the,die
1,0.5647675126003698,of,von
2,0.5437609647503002,and,und
3,0.4434466213908373,to,zu
4,0.19161492893700285,that,dem
5,0.1828150383438913,he,er
6,0.16479054445147262,was,war
7,0.1587392557198002,it,es
8,0.145479713841001,his,seine
9,0.13674697150183338,with,mit
10,0.12687483520699344,you,ihnen
11,0.12652913361293866,as,als
12,0.1259637453147306,for,für
13,0.12281449220475919,is,ist
14,0.09864022547488364,had,hatte
15,0.09752265470174312,not,nicht
16,0.09116102912309304,or,oder
17,0.09075019372271263,be,sein
18,0.0885610487303832,on,auf
19,0.08840671966006867,at,unter
20,0.08811193882525473,but,sondern
21,0.08652757577344716,by,von
22,0.08543194009659501,her,ihre
23,0.07708832188903258,this,diese
24,0.07371826293734217,which,die
25,0.07209137265803678,have,haben
26,0.07175003570048835,she,sie
27,0.07075064585428918,from,von
28,0.06922548517970888,him,ihm
29,0.06894849863219006,my,meine
30,0.06800092485528432,they,sie
31,0.06723353222646151,all,alle
32,0.057918950266869544,me,ich
33,0.05412451435025335,one,ein
34,0.0540456151518692,were,waren
35,0.05313374186331033,are,sind
36,0.050675332372665645,an,ein
37,0.04892108423837988,we,wir
38,0.048726466215698996,said,sagte
39,0.046607155407471276,their,ihre
40,0.04526463798361851,no,keine
41,0.04443132815217406,if,wenn
42,0.04392614945500239,there,es
43,0.042361035569325425,who,die
44,0.0416878743235373,when,wenn
45,0.041562307088662105,them,sie
46,0.03871454963889907,will,wird
47,0.03799908499312626,would,würde
48,0.037695351057786444,what,was
49,0.03480025408899293,been,gewesen
50,0.03348191003655999,out,aus
51,0.03212540339313557,do,tun
52,0.031922391838711685,up,auf
53,0.031735719692747494,your,ihre
54,0.03106020825807133,more,mehr
55,0.030244916541435175,man,mann
56,0.02980184997916166,then,dann
57,0.028968875888986924,any,jede
58,0.028885835881609572,into,in
59,0.02830735367388242,see,siehe
60,0.02768231534342079,now,jetzt
61,0.02618949774449015,some,einige
62,0.026000923064664217,other,andere
63,0.02574139506317084,could,könnte
64,0.025373310717801405,upon,auf
65,0.02479482851007425,like,wie
66,0.024291888088034046,has,hat
67,0.024281144367403015,time,zeit
68,0.02415960602776446,about,über
69,0.02412491276322675,than,als
70,0.023407097928565896,very,sehr
71,0.023109854991107334,our,unser
72,0.022357458805665344,may,kann
73,0.021594430813348893,little,wenig
74,0.021548770000667006,can,kann
75,0.021285660758963286,its,seine
76,0.02115695993890404,only,nur
77,0.020407697338646103,did,hat
78,0.02014973612974475,such,solche
79,0.02010732081600349,us,uns
80,0.019981082098588857,shall,soll
81,0.019843092436734034,these,diese
82,0.01967410266430842,before,vor
83,0.019537455967532476,made,gemacht
84,0.019515073216217826,two,zwei
85,0.019340375842206974,well,gut
86,0.01914531016449979,good,gut
87,0.018863847066718058,great,großartig
88,0.018581824400153456,know,kennen
89,0.018421787728253702,over,über
90,0.018289953323010408,after,nach
91,0.018281000222484547,must,muss
92,0.01801766715326768,should,sollte
93,0.01791515415224658,come,kommen
94,0.017832897541165238,how,wie
95,0.017759817858122903,down,runter
96,0.017123700065760524,first,erste
97,0.016993992021892123,project,projekt
98,0.016899984466370588,work,arbeit
99,0.016839439124064458,old,alt
100,0.016800157395507245,day,tag
101,0.01652652826068564,where,wo
102,0.01647739812154998,men,männer
103,0.01621607949995143,much,viel
104,0.016057385793130555,never,nie
105,0.01576696959482296,here,hier
106,0.015578730656266745,go,gehen
107,0.015424849240978521,came,kam
108,0.015223628306659808,way,weg
109,0.014900980946459115,life,leben
110,0.014750121202598368,own,eigene
111,0.014732550742816368,most,meisten
112,0.014583481619060793,make,machen
113,0.014482199669361998,am,bin
114,0.01446339815825769,long,lang
115,0.014438217563028708,say,sagen
116,0.014294632213345223,himself,sich
117,0.014213606653586187,without,ohne
118,0.013988324261604226,again,wieder
119,0.013903045979095405,through,durch
120,0.013889840155819762,being,zu sein
121,0.01375946062941192,those,die
122,0.01344621402476338,back,zurück
123,0.013324899512637973,might,könnte
124,0.013308448190421705,even,sogar
125,0.01324197141901719,many,viele
126,0.013071862509025844,under,unter
127,0.012754587009140669,too,zu
128,0.012700756492228932,people,menschen
129,0.012567802949419907,away,weg
130,0.012129548678679042,went,ging
131,0.012044494223683368,every,jede
132,0.012030505004111711,thou,du
133,0.011893522566066048,think,denke
134,0.011844616254443536,also,auch
