,counts,words,translations
0,8935452,the,die
1,5046453,of,von
2,4858750,and,und
3,3962396,to,zu
4,2540085,in,in
5,1712166,that,dass
6,1633535,he,er
7,1472478,was,war
8,1418407,it,es
9,1299927,his,seine
10,1221896,with,mit
11,1133684,you,Sie
12,1130595,as,als
13,1125543,for,für
14,1097403,is,ist
15,881395,had,hatte
16,871409,not,nicht
17,814565,or,oder
18,810894,be,sein
19,791333,on,auf
20,789954,at,unter
21,787320,but,sondern
22,773163,by,von
23,763373,her,ihre
24,688819,this,diese
25,658706,which,die
26,644169,have,haben
27,641119,she,sie
28,632189,from,von
29,618561,him,er
30,616086,my,meine
31,607619,they,sie
32,600762,all,alle
33,517532,me,ich
34,483627,one,eine
35,482922,were,waren
36,478143,so,also
37,474774,are,sind
38,452807,an,eine
39,437132,we,wir
40,435393,said,sagte
41,416456,their,ihre
42,404460,no,keine
43,397014,if,wenn
44,392500,there,dort
45,378515,who,die
46,372500,when,wenn
47,371378,them,sie
48,345932,will,wird
49,339539,would,würde
50,336825,what,was
51,310956,been,wurde
52,299176,out,aus
53,287055,do,tun
54,285241,up,auf
55,283573,your,Ihr
56,277537,more,mehr
57,270252,man,man
58,266293,then,dann
59,258850,any,jede
60,258108,into,in
61,252939,see,siehe
62,247354,now,jetzt
63,234015,some,einige
64,232330,other,andere
65,230011,could,könnte
66,226722,upon,auf
67,221553,like,wie
68,217059,has,hat
69,216963,time,Zeit
70,215877,about,über
71,215567,than,als
72,209153,very,sehr
73,206497,our,unser
74,199774,may,Mai
75,192956,little,wenig
76,192548,can,kann
77,190197,its,seine
78,189047,only,nur
79,182352,did,hat
80,180047,such,wie
81,179668,us,us
82,178540,shall,soll
83,177307,these,diese
84,175797,before,vor
85,174576,made,gemacht
86,174376,two,zwei
87,172815,well,gut
88,171072,good,gut
89,168557,great,großartig
90,166037,know,wissen
91,164607,over,über
92,163429,after,nach
93,163349,must,muss
94,160996,should,sollte
95,160080,come,kommen
96,159345,how,wie
97,158692,down,unten
98,157848,gutenberg,gutenberg
99,153008,first,erste
100,151849,project,Projekt
101,151009,work,Arbeit
102,150468,old,alt
103,150117,day,Tag
104,147672,where,wobei
105,147233,men,Männer
106,144898,much,viel
107,143480,never,niemals
108,140885,here,hier
109,139203,go,gehen.
110,137828,came,kam
111,136030,way,Weg
112,133147,life,Leben
113,131799,own,eigene
114,131642,most,
115,130310,make,machen.
116,129854,mr,Herr
117,129405,am,
118,129237,long,lang
119,129012,say,sagen
120,127729,himself,selbst
121,127005,without,ohne
122,124992,again,wieder
123,124230,through,über
124,124112,being,unter
125,122947,those,die
126,120148,back,zurück
127,119064,might,könnte
128,118917,even,sogar
129,118323,many,viele
130,116803,under,unter
131,113968,too,zu
132,113487,people,Menschen
133,113402,hand,Hand
134,112299,away,weg
135,108383,went,ging
136,107623,every,
137,107498,thou,du
138,106274,think,denken
139,105837,also,
140,105362,de,de
141,105002,yet,dennoch
142,104482,take,Nehmen Sie
143,104443,eyes,Augen
144,103856,house,Haus
145,102978,still,immer noch
146,100413,same,dieselbe
147,100176,place,
148,99350,last,zuletzt
149,99201,thought,Gedanken
150,98200,let,lassen Sie
151,97907,new,neu
152,97546,while,während
153,97124,just,nur
154,95216,found,gefunden
155,92351,things,Dinge
156,91662,head,Kopf
157,91618,lord,Fürst
158,91570,tm,tm
159,91295,another,eine andere
160,90917,nothing,nichts
161,90279,though,obwohl
162,90071,give,geben.
163,89952,young,junge
164,89324,night,Nacht
165,89117,right,rechts
166,88244,king,König
167,87526,love,Liebe
168,87428,face,Gesicht
169,86581,off,aus
170,86532,god,Gott
171,86464,world,Welt
172,86211,sir,Herr
